port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,round
100,0x55,1,0,0,unsigned,acceleration_report_alarm,accel_values_tx,1,
100,0x55,1,1,1,unsigned,acceleration_report_magnitude,accel_values_tx,1,
100,0x55,1,2,2,unsigned,acceleration_report_full_precision,accel_values_tx,1,
100,0x70,2,5,5,unsigned,app_configuration,write_to_flash,1,
100,0x70,2,6,6,unsigned,lora_configuration,write_to_flash,1,
100,0x70,2,8,8,unsigned,restart_sensor,write_to_flash,1,
100,0x71,7,0,7,unsigned,app_major_version,firmware_version,1,
100,0x71,7,8,15,unsigned,app_minor_version,firmware_version,1,
100,0x71,7,16,23,unsigned,app_revision,firmware_version,1,
100,0x71,7,24,31,unsigned,loramac_major_version,firmware_version,1,
100,0x71,7,32,39,unsigned,loramac_minor_version,firmware_version,1,
100,0x71,7,40,47,unsigned,loramac_revision,firmware_version,1,
100,0x71,7,48,55,unsigned,region,firmware_version,1,
100,0x72,1,0,7,unsigned,configuration_factory_reset,,1,
10,0x00 0xBA,1,0,6,unsigned,voltage,battery_voltage,0.01,3
10,0x00 0xBA,1,7,7,unsigned,eos_alert,battery_voltage,1,
10,0x01 0x04,2,0,15,unsigned,input1_frequency,,1,
10,0x02 0x02,2,0,15,unsigned,input2_voltage,,1,
10,0x03 0x02,2,0,15,unsigned,input3_voltage,,1,
10,0x04 0x02,2,0,15,unsigned,input4_voltage,,1,
10,0x05 0x04,2,0,15,unsigned,watermark1,,1,
10,0x06 0x04,2,0,15,unsigned,watermark2,,1,
10,0x09 0x65,2,0,15,unsigned,light_intesnity,,1,
10,0x09 0x00,1,0,7,unsigned,light_detected,,1,
10,0x0A 0x71,6,0,15,signed,xaxis,acceleration,1,
10,0x0A 0x71,6,16,31,signed,yaxis,acceleration,1,
10,0x0A 0x71,6,32,47,signed,zaxis,acceleration,1,
10,0x0A 0x00,1,0,7,unsigned,orientation_alarm,,1,
10,0x0B 0x67,2,0,15,signed,ambient_temperature,,0.1,3
10,0x0B 0x68,2,0,15,signed,relative_humidity,,0.5,3
10,0x0C 0x67,1,0,7,signed,mcu_temperature,,0.1,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
