port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,round
100,0x71,7,8,15,unsigned,app_minor_version,firmware_version,1,
100,0x71,7,16,23,unsigned,app_revision,firmware_version,1,
100,0x71,7,24,31,unsigned,loramac_major_version,firmware_version,1,
100,0x71,7,32,39,unsigned,loramac_minor_version,firmware_version,1,
100,0x71,7,40,47,unsigned,loramac_revision,firmware_version,1,
100,0x71,7,48,55,unsigned,region,firmware_version,1,
100,0x72,1,0,7,unsigned,configuration_factory_reset,,1,
10,0x00 0xFF,2,0,15,signed,battery_voltage,,0.01,2
10,0x01 0x00,1,0,7,unsigned,digital_input,,1,
10,0x02 0x00,1,0,7,unsigned,light_detected,,1,
10,0x03 0x67,2,0,15,signed,temperature,,0.1,1
10,0x04 0x68,1,0,7,unsigned,relative_humidity,,0.5,1
10,0x05 0x02,2,0,15,signed,impact_magnitude,,0.001,3
10,0x06 0x00,1,0,7,unsigned,break_in,,1,
10,0x07 0x71,6,0,15,signed,acceleration_x,,0.001,3
10,0x07 0x71,6,16,31,signed,acceleration_y,,0.001,3
10,0x07 0x71,6,32,47,signed,acceleration_z,,0.001,3
10,0x08 0x04,2,0,15,unsigned,input_count,,1,
10,0x09 0x00,1,0,7,unsigned,moisture,,1,
10,0x0A 0x00,1,0,7,unsigned,motion,,1,
10,0x0B 0x67,2,0,15,signed,mcu_temperature,,0.1,1
10,0x0C 0x00,1,0,7,unsigned,impact_alarm,,1,
10,0x0D 0x04,2,0,15,unsigned,motion_event_count,,1,
